model_a,model_b,n_examples,a_win_rate,b_win_rate,tie_rate,a_wins,b_wins,ties,mean_bleu_a,mean_bleu_b,wilcoxon_stat,p_value,significant
base_4b,lora_4b,139,0.0,1.0,0.0,0,139,0,0.1539,0.737,0.0,0.0,True
base_4b,base_12b,139,0.5252,0.4748,0.0,73,66,0,0.1539,0.1442,4504.0,0.447855,False
base_4b,lora_12b,139,0.0,1.0,0.0,0,139,0,0.1539,0.7445,0.0,0.0,True
base_4b,base_27b,139,0.518,0.482,0.0,72,67,0,0.1539,0.1554,4846.5,0.968973,False
base_4b,lora_27b,139,0.0,1.0,0.0,0,139,0,0.1539,0.7414,0.0,0.0,True
lora_4b,base_12b,139,1.0,0.0,0.0,139,0,0,0.737,0.1442,0.0,0.0,True
lora_4b,lora_12b,139,0.4604,0.5396,0.0,64,75,0,0.737,0.7445,4616.5,0.601345,False
lora_4b,base_27b,139,1.0,0.0,0.0,139,0,0,0.737,0.1554,0.0,0.0,True
lora_4b,lora_27b,139,0.4532,0.5468,0.0,63,76,0,0.737,0.7414,4737.5,0.788648,False
base_12b,lora_12b,139,0.0,1.0,0.0,0,139,0,0.1442,0.7445,0.0,0.0,True
base_12b,base_27b,139,0.482,0.518,0.0,67,72,0,0.1442,0.1554,4412.5,0.341415,False
base_12b,lora_27b,139,0.0,1.0,0.0,0,139,0,0.1442,0.7414,0.0,0.0,True
lora_12b,base_27b,139,1.0,0.0,0.0,139,0,0,0.7445,0.1554,0.0,0.0,True
lora_12b,lora_27b,139,0.5324,0.4676,0.0,74,65,0,0.7445,0.7414,4688.5,0.710572,False
base_27b,lora_27b,139,0.0,1.0,0.0,0,139,0,0.1554,0.7414,0.0,0.0,True
